index,seqName,clade,major_lineage,genotype,otherName,seqLength,%cds,year,geo_location,country,strain,date
12,MW946772.1|2005,3II_A.2,3II_A,3II,MW946772,10173,100,2005,Thailand,Thailand,MW946772,2005
12,GU131857.1|2006,3III_C.2.2,3III_C,3III,GU131857,10616,104.3546643,2006,Brazil: Sao Paulo,Brazil,GU131857,2006
13,MW946773.1|2006,3II_B,3II_B,3II,MW946773,10173,100,2006,Thailand,Thailand,MW946773,2006
13,GU131858.1|2006,3III_C.2.2,3III_C,3III,GU131858,10525,103.4601396,2006,Brazil: Sao Paulo,Brazil,GU131858,2006
14,MW946774.1|1995,3II_A,3II_A,3II,MW946774,10173,100,1995,Thailand,Thailand,MW946774,1995
14,GU131859.1|2006,3III_C.2.2,3III_C,3III,GU131859,10525,103.4601396,2006,Brazil: Sao Paulo,Brazil,GU131859,2006
15,MW946775.1|2014,3III_B.1,3III_B,3III,MW946775,10173,100,2014,Thailand,Thailand,MW946775,2014
15,GU131860.1|2006,3III_C.2.2,3III_C,3III,GU131860,10517,103.3815,2006,Brazil: Sao Paulo,Brazil,GU131860,2006
16,MW946776.1|2006,3II_A.2,3II_A,3II,MW946776,10173,100,2006,Thailand,Thailand,MW946776,2006
16,GU131861.1|2007,3III_C.2.2,3III_C,3III,GU131861,10526,103.4699695,2007,Brazil: Sao Paulo,Brazil,GU131861,2007
17,MW946777.1|1995,3II_A,3II_A,3II,MW946777,10173,100,1995,Thailand,Thailand,MW946777,1995
17,GU131862.1|2007,3III_C.2.2,3III_C,3III,GU131862,10525,103.4601396,2007,Brazil: Sao Paulo,Brazil,GU131862,2007
18,MW946778.1|2013,3III_B.1,3III_B,3III,MW946778,10173,100,2013,Thailand,Thailand,MW946778,2013
18,GU131865.1|2006,3III_C.2.2,3III_C,3III,GU131865,10501,103.224221,2006,Brazil: Sao Paulo,Brazil,GU131865,2006
19,MW946779.1|2013,3II_B,3II_B,3II,MW946779,10173,100,2013,Thailand,Thailand,MW946779,2013
19,GU131866.1|2007,3III_C.2,3III_C,3III,GU131866,10526,103.4699695,2007,Brazil: Sao Paulo,Brazil,GU131866,2007
20,MW946780.1|1996,3II_A,3II_A,3II,MW946780,10173,100,1996,Thailand,Thailand,MW946780,1996
20,GU131867.1|2007,3III_C.2.2,3III_C,3III,GU131867,10525,103.4601396,2007,Brazil: Sao Paulo,Brazil,GU131867,2007
21,MW946781.1|2005,3II_A.2,3II_A,3II,MW946781,10173,100,2005,Thailand,Thailand,MW946781,2005
21,GU131868.1|2007,3III_C.2,3III_C,3III,GU131868,10517,103.3815,2007,Brazil: Sao Paulo,Brazil,GU131868,2007
22,MW946782.1|1994,3II_A,3II_A,3II,MW946782,10173,100,1994,Thailand,Thailand,MW946782,1994
22,GU131869.1|2007,3III_C.2.2,3III_C,3III,GU131869,10525,103.4601396,2007,Brazil: Sao Paulo,Brazil,GU131869,2007
23,MW946783.1|2012,3III_B.1,3III_B,3III,MW946783,10173,100,2012,Thailand,Thailand,MW946783,2012
23,GU131870.1|2007,3III_C.2.2,3III_C,3III,GU131870,10525,103.4601396,2007,Brazil: Sao Paulo,Brazil,GU131870,2007
24,MW946784.1|1996,3II_A.5,3II_A,3II,MW946784,10173,100,1996,Thailand,Thailand,MW946784,1996
24,GU131871.1|2007,3III_C.2.2,3III_C,3III,GU131871,10510,103.3126905,2007,Brazil: Sao Paulo,Brazil,GU131871,2007
25,MW946785.1|2013,3II_A.5,3II_A,3II,MW946785,10173,100,2013,Thailand,Thailand,MW946785,2013
25,GU131872.1|2007,3III_C.2.2,3III_C,3III,GU131872,10608,104.2760248,2007,Brazil: Sao Paulo,Brazil,GU131872,2007
25,PP563771.1|2023-06-24,3III_B.3.2,3III_B,3III,PP563771,10707,105.249189,2023,Angola,Angola,PP563771,2023
26,MW946786.1|2001,3II_A,3II_A,3II,MW946786,10173,100,2001,Thailand,Thailand,MW946786,2001
26,GU131873.1|2007,3III_C.2,3III_C,3III,GU131873,10402,102.2510567,2007,Brazil: Sao Paulo,Brazil,GU131873,2007
26,PP563871.1|2023-07-04,3III_B.1,3III_B,3III,PP563871,10505,103.2635407,2023,Thailand,Thailand,PP563871,2023
27,MW946787.1|1998,3II_A,3II_A,3II,MW946787,10173,100,1998,Thailand,Thailand,MW946787,1998
27,OR616483.1|2023-08-15,3III_B.3.2,3III_B,3III,OR616483,10214,100.4030276,2023,Dominican Republic,Dominican Republic,OR616483,2023
27,GU131874.1|2007,3III_C.2,3III_C,3III,GU131874,10525,103.4601396,2007,Brazil: Sao Paulo,Brazil,GU131874,2007
28,MW946788.1|2005,3II_A,3II_A,3II,MW946788,10173,100,2005,Thailand,Thailand,MW946788,2005
28,OR616484.1|2023-08-06,3III_B.3.2,3III_B,3III,OR616484,10189,100.1572791,2023,Dominican Republic,Dominican Republic,OR616484,2023
28,GU131875.1|2007,3III_C.2.2,3III_C,3III,GU131875,10525,103.4601396,2007,Brazil: Sao Paulo,Brazil,GU131875,2007
29,MW946789.1|2010,3II_B,3II_B,3II,MW946789,10173,100,2010,Thailand,Thailand,MW946789,2010
29,OR616485.1|2023-08-06,3III_B.3.2,3III_B,3III,OR616485,10213,100.3931977,2023,Dominican Republic,Dominican Republic,OR616485,2023
29,GU131876.1|2007,3III_C.2.2,3III_C,3III,GU131876,10516,103.3716701,2007,Brazil: Sao Paulo,Brazil,GU131876,2007
30,MW946790.1|1995,3II_A.4,3II_A,3II,MW946790,10173,100,1995,Thailand,Thailand,MW946790,1995
30,OR616486.1|2023-08-09,3III_B.3.2,3III_B,3III,OR616486,10195,100.2162587,2023,Dominican Republic,Dominican Republic,OR616486,2023
30,GU131877.1|2007,3III_C.2,3III_C,3III,GU131877,10616,104.3546643,2007,Brazil: Sao Paulo,Brazil,GU131877,2007
31,MW946791.1|1997,3II_B,3II_B,3II,MW946791,10173,100,1997,Thailand,Thailand,MW946791,1997
31,OR616487.1|2023-08-14,3III_B.3.2,3III_B,3III,OR616487,10208,100.344048,2023,Dominican Republic,Dominican Republic,OR616487,2023
31,GU131878.1|2007,3III_C.2,3III_C,3III,GU131878,10638,104.570923,2007,Brazil: Sao Paulo,Brazil,GU131878,2007
32,MW946792.1|1998,3II_A.2,3II_A,3II,MW946792,10173,100,1998,Thailand,Thailand,MW946792,1998
32,OR616488.1|2023-08-14,3III_B.3.2,3III_B,3III,OR616488,10213,100.3931977,2023,Dominican Republic,Dominican Republic,OR616488,2023
32,GU131903.1|2008,3II_A.2,3II_A,3II,GU131903,10509,103.3028605,2008,Cambodia: BMC,Cambodia,GU131903,2008
33,MW946793.1|2006,3II_B,3II_B,3II,MW946793,10173,100,2006,Thailand,Thailand,MW946793,2006
33,OR616489.1|2023-08-15,3III_B.3.2,3III_B,3III,OR616489,10210,100.3637079,2023,Dominican Republic,Dominican Republic,OR616489,2023
33,GU131904.1|2005,3II_A.2,3II_A,3II,GU131904,10638,104.570923,2005,Cambodia: KCH,Cambodia,GU131904,2005
34,MW946794.1|2000,3II_A,3II_A,3II,MW946794,10173,100,2000,Thailand,Thailand,MW946794,2000
34,OR616490.1|2023-08-17,3III_B.3.2,3III_B,3III,OR616490,10200,100.2654084,2023,Dominican Republic,Dominican Republic,OR616490,2023
34,GU131905.1|2008,3II_A.2,3II_A,3II,GU131905,10638,104.570923,2008,Cambodia: KCH,Cambodia,GU131905,2008
35,MW946795.1|2001,3II_A,3II_A,3II,MW946795,10173,100,2001,Thailand,Thailand,MW946795,2001
35,OR616491.1|2023-08-15,3III_B.3.2,3III_B,3III,OR616491,10203,100.2948983,2023,Dominican Republic,Dominican Republic,OR616491,2023
35,GU131906.1|2003,3II_A.2,3II_A,3II,GU131906,10625,104.4431338,2003,Cambodia: KSO,Cambodia,GU131906,2003
36,MW946796.1|2006,3II_B,3II_B,3II,MW946796,10173,100,2006,Thailand,Thailand,MW946796,2006
36,OR616492.1|2023-08-15,3III_B.3.2,3III_B,3III,OR616492,10201,100.2752384,2023,Dominican Republic,Dominican Republic,OR616492,2023
36,GU131907.1|2006,3II_A.2,3II_A,3II,GU131907,10525,103.4601396,2006,Cambodia: KCH,Cambodia,GU131907,2006
37,MW946797.1|2002,3II_A,3II_A,3II,MW946797,10173,100,2002,Thailand,Thailand,MW946797,2002
37,OR616493.1|2023-08-16,3III_B.3.2,3III_B,3III,OR616493,10216,100.4226875,2023,Dominican Republic,Dominican Republic,OR616493,2023
37,GU131908.1|2006,3II_A.2,3II_A,3II,GU131908,10511,103.3225204,2006,Cambodia: KCH,Cambodia,GU131908,2006
38,MW946798.1|2013,3III_B.1,3III_B,3III,MW946798,10173,100,2013,Thailand,Thailand,MW946798,2013
38,OR616494.1|2023-08-24,3III_B.3.2,3III_B,3III,OR616494,10198,100.2457486,2023,Dominican Republic,Dominican Republic,OR616494,2023
38,GU131909.1|2006,3II_A.2,3II_A,3II,GU131909,10509,103.3028605,2006,Cambodia: KCH,Cambodia,GU131909,2006
39,MW946799.1|2012,3III_B.1,3III_B,3III,MW946799,10173,100,2012,Thailand,Thailand,MW946799,2012
39,OR616495.1|2023-08-29,3III_B.3.2,3III_B,3III,OR616495,10203,100.2948983,2023,Dominican Republic,Dominican Republic,OR616495,2023
39,GU131910.1|2006,3II_A.2,3II_A,3II,GU131910,10623,104.4234739,2006,Cambodia: KCH,Cambodia,GU131910,2006
40,MW946800.1|2012,3III_B.1,3III_B,3III,MW946800,10173,100,2012,Thailand,Thailand,MW946800,2012
40,OR616496.1|2023-08-21,3III_B.3.2,3III_B,3III,OR616496,10213,100.3931977,2023,Dominican Republic,Dominican Republic,OR616496,2023
40,GU131911.1|2006,3II_A.2,3II_A,3II,GU131911,10524,103.4503096,2006,Cambodia: KCH,Cambodia,GU131911,2006
41,MW946801.1|2014,3III_B.1,3III_B,3III,MW946801,10173,100,2014,Thailand,Thailand,MW946801,2014
41,OR616497.1|2023-08-22,3III_B.3.2,3III_B,3III,OR616497,10212,100.3833677,2023,Dominican Republic,Dominican Republic,OR616497,2023
41,GU131912.1|2007,3II_A.2,3II_A,3II,GU131912,10522,103.4306498,2007,Cambodia: KCH,Cambodia,GU131912,2007
42,MW946802.1|2014,3III_B.1,3III_B,3III,MW946802,10173,100,2014,Thailand,Thailand,MW946802,2014
42,OR616498.1|2023-08-22,3III_B.3.2,3III_B,3III,OR616498,10196,100.2260887,2023,Dominican Republic,Dominican Republic,OR616498,2023
42,GU131913.1|2007,3II_A.2,3II_A,3II,GU131913,10648,104.6692225,2007,Cambodia: KCH,Cambodia,GU131913,2007
43,MW946803.1|1996,3II_A,3II_A,3II,MW946803,10173,100,1996,Thailand,Thailand,MW946803,1996
43,OR616499.1|2023-08-21,3III_B.3.2,3III_B,3III,OR616499,10214,100.4030276,2023,Dominican Republic,Dominican Republic,OR616499,2023
43,GU131914.1|2007,3II_A.2,3II_A,3II,GU131914,10619,104.3841541,2007,Cambodia: KCH,Cambodia,GU131914,2007
44,MW946804.1|2000,3II_A,3II_A,3II,MW946804,10173,100,2000,Thailand,Thailand,MW946804,2000
44,OR616500.1|2023-08-20,3III_B.3.2,3III_B,3III,OR616500,10216,100.4226875,2023,Dominican Republic,Dominican Republic,OR616500,2023
44,GU131915.1|2007,3II_A.2,3II_A,3II,GU131915,10523,103.4404797,2007,Cambodia: KCH,Cambodia,GU131915,2007
45,MW946805.1|2000,3II_A.4,3II_A,3II,MW946805,10173,100,2000,Thailand,Thailand,MW946805,2000
45,OR616501.1|2023-08-19,3III_B.3.2,3III_B,3III,OR616501,10211,100.3735378,2023,Dominican Republic,Dominican Republic,OR616501,2023
45,GU131916.1|2007,3II_A.2,3II_A,3II,GU131916,10625,104.4431338,2007,Cambodia: KCH,Cambodia,GU131916,2007
46,MW946806.1|1994,3II_A,3II_A,3II,MW946806,10173,100,1994,Thailand,Thailand,MW946806,1994
46,OR616502.1|2023-08-21,3III_B.3.2,3III_B,3III,OR616502,10204,100.3047282,2023,Dominican Republic,Dominican Republic,OR616502,2023
46,GU131917.1|2007,3II_A.2,3II_A,3II,GU131917,10616,104.3546643,2007,Cambodia: KCH,Cambodia,GU131917,2007
47,MW946807.1|2012,3II_A.5,3II_A,3II,MW946807,10173,100,2012,Thailand,Thailand,MW946807,2012
47,OR616503.1|2023-05-21,3III_B.3.2,3III_B,3III,OR616503,10188,100.1474491,2023,Dominican Republic,Dominican Republic,OR616503,2023
47,GU131918.1|2007,3II_A.2,3II_A,3II,GU131918,10497,103.1849012,2007,Cambodia: KCH,Cambodia,GU131918,2007
48,MW946808.1|2010,3III_B.1,3III_B,3III,MW946808,10173,100,2010,Thailand,Thailand,MW946808,2010
48,OR616504.1|2023-08-17,3III_B.3.2,3III_B,3III,OR616504,10205,100.3145581,2023,Dominican Republic,Dominican Republic,OR616504,2023
48,GU131933.1|2006,3II_A.2,3II_A,3II,GU131933,10487,103.0866018,2006,Cambodia: KCH,Cambodia,GU131933,2006
49,MW946809.1|2001,3II_A,3II_A,3II,MW946809,10173,100,2001,Thailand,Thailand,MW946809,2001
49,OR616505.1|2023-08-24,3III_B.3.2,3III_B,3III,OR616505,10193,100.1965988,2023,Dominican Republic,Dominican Republic,OR616505,2023
49,GU131934.1|2007,3II_A.2,3II_A,3II,GU131934,10659,104.7773518,2007,Cambodia: KCH,Cambodia,GU131934,2007
50,MW946810.1|2012,3III_B.1,3III_B,3III,MW946810,10173,100,2012,Thailand,Thailand,MW946810,2012
50,OR616506.1|2023-08-21,3III_B.3.2,3III_B,3III,OR616506,10210,100.3637079,2023,Dominican Republic,Dominican Republic,OR616506,2023
50,GU131935.1|2007,3II_A.2,3II_A,3II,GU131935,10637,104.5610931,2007,Cambodia: KCH,Cambodia,GU131935,2007
51,MW946811.1|2011,3II_A.5,3II_A,3II,MW946811,10173,100,2011,Thailand,Thailand,MW946811,2011
51,OR616507.1|2023-08-25,3III_B.3.2,3III_B,3III,OR616507,10211,100.3735378,2023,Dominican Republic,Dominican Republic,OR616507,2023
51,GU131936.1|2007,3II_A.2,3II_A,3II,GU131936,10660,104.7871818,2007,Cambodia: KCH,Cambodia,GU131936,2007
52,MW946812.1|1995,3II_A,3II_A,3II,MW946812,10173,100,1995,Thailand,Thailand,MW946812,1995
52,OR616508.1|2023-08-25,3III_B.3.2,3III_B,3III,OR616508,10215,100.4128576,2023,Dominican Republic,Dominican Republic,OR616508,2023
52,GU131937.1|2007,3II_A.2,3II_A,3II,GU131937,10657,104.7576919,2007,Cambodia: KCH,Cambodia,GU131937,2007
53,MW946813.1|2010,3II_A.5,3II_A,3II,MW946813,10173,100,2010,Thailand,Thailand,MW946813,2010
53,OR616509.1|2023-08-25,3III_B.3.2,3III_B,3III,OR616509,10200,100.2654084,2023,Dominican Republic,Dominican Republic,OR616509,2023
53,GU131938.1|2007,3II_A.2,3II_A,3II,GU131938,10647,104.6593925,2007,Cambodia: KCH,Cambodia,GU131938,2007
54,MW946814.1|1999,3II_A,3II_A,3II,MW946814,10173,100,1999,Thailand,Thailand,MW946814,1999
54,OR616510.1|2023-08-15,3III_B.3.2,3III_B,3III,OR616510,10210,100.3637079,2023,Dominican Republic,Dominican Republic,OR616510,2023
54,GU131939.1|2007,3II_A.2,3II_A,3II,GU131939,10644,104.6299027,2007,Cambodia: KCH,Cambodia,GU131939,2007
55,MW946815.1|2006,3III_B.1,3III_B,3III,MW946815,10173,100,2006,Thailand,Thailand,MW946815,2006
55,OR616511.1|2023-08-26,3III_B.3.2,3III_B,3III,OR616511,10205,100.3145581,2023,Dominican Republic,Dominican Republic,OR616511,2023
55,GU131940.1|2007,3II_A.2,3II_A,3II,GU131940,10632,104.5119434,2007,Cambodia: KCH,Cambodia,GU131940,2007
56,MW946816.1|1997,3II_A,3II_A,3II,MW946816,10173,100,1997,Thailand,Thailand,MW946816,1997
56,OR616512.1|2023-08-27,3III_B.3.2,3III_B,3III,OR616512,10195,100.2162587,2023,Dominican Republic,Dominican Republic,OR616512,2023
56,GU131941.1|2007,3II_A.2,3II_A,3II,GU131941,10638,104.570923,2007,Cambodia: KCH,Cambodia,GU131941,2007
57,MW946817.1|2009,3II_A.5,3II_A,3II,MW946817,10172,99.99017006,2009,Thailand,Thailand,MW946817,2009
57,OR616513.1|2023-08-22,3III_B.3.2,3III_B,3III,OR616513,10186,100.1277892,2023,Dominican Republic,Dominican Republic,OR616513,2023
57,GU131942.1|2007,3II_A.2,3II_A,3II,GU131942,10633,104.5217733,2007,Cambodia: KCH,Cambodia,GU131942,2007
58,MW946818.1|1994,3II_A,3II_A,3II,MW946818,10173,100,1994,Thailand,Thailand,MW946818,1994
58,OR616514.1|2023-08-27,3III_B.3.2,3III_B,3III,OR616514,10198,100.2457486,2023,Dominican Republic,Dominican Republic,OR616514,2023
58,GU131943.1|2007,3II_A.2,3II_A,3II,GU131943,10649,104.6790524,2007,Cambodia: KCH,Cambodia,GU131943,2007
59,MW946819.1|1999,3II_A.4,3II_A,3II,MW946819,10173,100,1999,Thailand,Thailand,MW946819,1999
59,OR616515.1|2023-08-26,3III_B.3.2,3III_B,3III,OR616515,10205,100.3145581,2023,Dominican Republic,Dominican Republic,OR616515,2023
59,GU131944.1|2007,3II_A.2,3II_A,3II,GU131944,10656,104.747862,2007,Cambodia: KCH,Cambodia,GU131944,2007
60,MW946820.1|2003,3II_A.3,3II_A,3II,MW946820,10173,100,2003,Thailand,Thailand,MW946820,2003
60,OR616516.1|2023-08-29,3III_B.3.2,3III_B,3III,OR616516,10198,100.2457486,2023,Dominican Republic,Dominican Republic,OR616516,2023
60,GU131945.1|2007,3II_A.2,3II_A,3II,GU131945,10507,103.2832006,2007,Cambodia: KCH,Cambodia,GU131945,2007
61,MW946821.1|2000,3II_A,3II_A,3II,MW946821,10173,100,2000,Thailand,Thailand,MW946821,2000
61,OR616517.1|2023-08-25,3III_B.3.2,3III_B,3III,OR616517,10208,100.344048,2023,Dominican Republic,Dominican Republic,OR616517,2023
61,GU131946.1|2008,3II_A.2,3II_A,3II,GU131946,10631,104.5021134,2008,Cambodia: KCH,Cambodia,GU131946,2008
62,MW946822.1|1995,3II_A,3II_A,3II,MW946822,10173,100,1995,Thailand,Thailand,MW946822,1995
62,OR616518.1|2023-08-28,3III_B.3.2,3III_B,3III,OR616518,10212,100.3833677,2023,Dominican Republic,Dominican Republic,OR616518,2023
62,EU932687.1|2007,3III_C.1,3III_C,3III,EU932687,10664,104.8265015,2007,Venezuela: Aragua,Venezuela,EU932687,2007
63,MW946823.1|1994,3II_A,3II_A,3II,MW946823,10173,100,1994,Thailand,Thailand,MW946823,1994
63,OR616519.1|2023-08-24,3III_B.3.2,3III_B,3III,OR616519,10211,100.3735378,2023,Dominican Republic,Dominican Republic,OR616519,2023
63,EU932688.1|2007,3III_C.1,3III_C,3III,EU932688,10663,104.8166716,2007,Venezuela: Aragua,Venezuela,EU932688,2007
64,MW946824.1|2006,3II_B,3II_B,3II,MW946824,10173,100,2006,Thailand,Thailand,MW946824,2006
64,OR616520.1|2023-08-27,3III_B.3.2,3III_B,3III,OR616520,10199,100.2555785,2023,Dominican Republic,Dominican Republic,OR616520,2023
64,GQ868546.1|2006,3III_C.2.2,3III_C,3III,GQ868546,10663,104.8166716,2006,Brazil: Sao Paulo,Brazil,GQ868546,2006
65,MW946825.1|1994,3II_B,3II_B,3II,MW946825,10173,100,1994,Thailand,Thailand,MW946825,1994
65,OR616521.1|2023-08-27,3III_B.3.2,3III_B,3III,OR616521,10211,100.3735378,2023,Dominican Republic,Dominican Republic,OR616521,2023
65,GQ868547.1|2006,3III_C.2.2,3III_C,3III,GQ868547,10655,104.738032,2006,Brazil: Sao Paulo,Brazil,GQ868547,2006
66,MW946826.1|1995,3II_A,3II_A,3II,MW946826,10173,100,1995,Thailand,Thailand,MW946826,1995
66,OR616522.1|2023-08-28,3III_B.3.2,3III_B,3III,OR616522,10203,100.2948983,2023,Dominican Republic,Dominican Republic,OR616522,2023
66,GQ868548.1|2006,3III_C.2.2,3III_C,3III,GQ868548,10663,104.8166716,2006,Brazil: Sao Paulo,Brazil,GQ868548,2006
67,MW946827.1|1996,3II_A,3II_A,3II,MW946827,10173,100,1996,Thailand,Thailand,MW946827,1996
67,OR616523.1|2023-08-28,3III_B.3.2,3III_B,3III,OR616523,10201,100.2752384,2023,Dominican Republic,Dominican Republic,OR616523,2023
67,GQ868571.1|2002,3III_C.1,3III_C,3III,GQ868571,10663,104.8166716,2002,Colombia: Santander,Colombia,GQ868571,2002
68,MW946828.1|1994,3II_A,3II_A,3II,MW946828,10173,100,1994,Thailand,Thailand,MW946828,1994
68,OR616524.1|2023-08-22,3III_B.3.2,3III_B,3III,OR616524,10211,100.3735378,2023,Dominican Republic,Dominican Republic,OR616524,2023
68,GQ868572.1|2003,3III_C.1,3III_C,3III,GQ868572,10652,104.7085422,2003,Colombia: Santander,Colombia,GQ868572,2003
69,MW946829.1|2005,3II_B,3II_B,3II,MW946829,10173,100,2005,Thailand,Thailand,MW946829,2005
69,OR616525.1|2023-08-30,3III_B.3.2,3III_B,3III,OR616525,10213,100.3931977,2023,Dominican Republic,Dominican Republic,OR616525,2023
69,GQ868573.1|2003,3III_C.1,3III_C,3III,GQ868573,10644,104.6299027,2003,Colombia: Santander,Colombia,GQ868573,2003
70,MW946830.1|1994,3II_A,3II_A,3II,MW946830,10173,100,1994,Thailand,Thailand,MW946830,1994
70,OR616526.1|2023-08-30,3III_B.3.2,3III_B,3III,OR616526,10201,100.2752384,2023,Dominican Republic,Dominican Republic,OR616526,2023
70,GQ868574.1|2003,3III_C.1,3III_C,3III,GQ868574,10663,104.8166716,2003,Colombia: Santander,Colombia,GQ868574,2003
71,MW946831.1|2006,3II_A.5,3II_A,3II,MW946831,10173,100,2006,Thailand,Thailand,MW946831,2006
71,OR616527.1|2023-08-30,3III_B.3.2,3III_B,3III,OR616527,10212,100.3833677,2023,Dominican Republic,Dominican Republic,OR616527,2023
71,GQ868575.1|2004,3III_C.1,3III_C,3III,GQ868575,10663,104.8166716,2004,Colombia: Santander,Colombia,GQ868575,2004
72,MW946832.1|1997,3II_A.3,3II_A,3II,MW946832,10173,100,1997,Thailand,Thailand,MW946832,1997
72,OR616528.1|2023-08-12,3III_B.3.2,3III_B,3III,OR616528,10193,100.1965988,2023,Dominican Republic,Dominican Republic,OR616528,2023
72,GQ868576.1|2005,3III_C.1,3III_C,3III,GQ868576,10663,104.8166716,2005,Colombia: Norte de Santander,Colombia,GQ868576,2005
73,MW946833.1|1998,3II_A,3II_A,3II,MW946833,10173,100,1998,Thailand,Thailand,MW946833,1998
73,OR616529.1|2023-08-29,3III_B.3.2,3III_B,3III,OR616529,10215,100.4128576,2023,Dominican Republic,Dominican Republic,OR616529,2023
73,GQ868577.1|2005,3III_C.1,3III_C,3III,GQ868577,10646,104.6495626,2005,Colombia: Norte de Santander,Colombia,GQ868577,2005
74,MW946834.1|1996,3II_A,3II_A,3II,MW946834,10173,100,1996,Thailand,Thailand,MW946834,1996
74,OR616530.1|2023-07-02,3III_B.3.2,3III_B,3III,OR616530,10306,101.3073823,2023,Dominican Republic,Dominican Republic,OR616530,2023
74,GQ868578.1|2007,3III_C.1,3III_C,3III,GQ868578,10659,104.7773518,2007,Colombia: Santander,Colombia,GQ868578,2007
75,MW946835.1|1999,3II_A,3II_A,3II,MW946835,10173,100,1999,Thailand,Thailand,MW946835,1999
75,OR616531.1|2023-07-17,3III_B.3.2,3III_B,3III,OR616531,10197,100.2359186,2023,Dominican Republic,Dominican Republic,OR616531,2023
75,GQ868586.1|2007,3III_C.1,3III_C,3III,GQ868586,10663,104.8166716,2007,Venezuela: Aragua,Venezuela,GQ868586,2007
76,MW946836.1|1998,3II_A,3II_A,3II,MW946836,10173,100,1998,Thailand,Thailand,MW946836,1998
76,OR616532.1|2023-07-19,3III_B.3.2,3III_B,3III,OR616532,10201,100.2752384,2023,Dominican Republic,Dominican Republic,OR616532,2023
76,GQ868587.1|2007,3III_C.1,3III_C,3III,GQ868587,10663,104.8166716,2007,Venezuela: Aragua,Venezuela,GQ868587,2007
77,MW946837.1|1997,3II_A,3II_A,3II,MW946837,10173,100,1997,Thailand,Thailand,MW946837,1997
77,OR616533.1|2023-07-14,3III_B.3.2,3III_B,3III,OR616533,10201,100.2752384,2023,Dominican Republic,Dominican Republic,OR616533,2023
77,GQ868593.1|1973,3II,3II,3II,GQ868593,10663,104.8166716,1973,Thailand,Thailand,GQ868593,1973
78,MW946838.1|2000,3II_A.4,3II_A,3II,MW946838,10173,100,2000,Thailand,Thailand,MW946838,2000
